Date,BUDAPEST,BARANYA,BACS,BEKES,BORSOD,CSONGRAD,FEJER,GYOR,HAJDU,HEVES,JASZ,KOMAROM,NOGRAD,PEST,SOMOGY,SZABOLCS,TOLNA,VAS,VESZPREM,ZALA
30/09/2013,18,2,9,8,9,1,1,18,1,2,2,0,2,9,0,11,2,2,3,1
07/10/2013,6,22,0,0,4,9,12,13,12,1,31,0,0,20,17,0,1,5,5,0
14/10/2013,21,15,1,1,17,9,3,8,2,11,6,1,5,18,14,15,1,3,11,2
21/10/2013,30,26,10,7,31,19,25,26,20,20,46,0,4,15,11,20,5,23,6,2
28/10/2013,21,9,1,11,13,28,8,10,33,35,18,6,1,12,46,30,1,0,18,5
04/11/2013,79,18,8,4,16,15,14,82,19,66,39,0,5,38,38,8,4,5,27,1
11/11/2013,64,5,14,11,71,22,48,40,32,49,38,2,2,25,19,7,2,22,11,6
18/11/2013,55,24,8,8,37,2,13,21,32,20,26,1,4,43,15,12,0,2,20,13
25/11/2013,18,14,3,19,80,10,32,53,39,18,39,1,10,52,8,46,0,20,28,2
02/12/2013,101,20,14,10,44,20,7,39,26,64,22,3,14,35,63,14,4,15,25,3
09/12/2013,63,30,30,11,81,16,38,40,37,21,12,11,6,29,5,18,0,44,11,2
16/12/2013,59,44,35,23,84,59,37,42,19,82,4,2,22,54,17,19,1,19,39,4
23/12/2013,6,3,0,0,3,0,1,0,3,1,0,0,0,10,0,3,4,0,2,2
30/12/2013,26,27,1,1,49,0,37,43,29,18,18,2,13,30,21,26,0,20,23,5
06/01/2014,150,49,4,4,205,48,47,81,112,22,27,10,21,80,93,3,0,28,63,15
13/01/2014,80,50,41,4,73,69,61,59,54,84,19,7,18,140,18,9,2,31,32,13
20/01/2014,82,19,72,13,40,12,44,14,34,40,4,10,14,43,25,3,0,21,36,20
27/01/2014,58,24,41,24,76,67,24,34,40,27,17,21,10,108,46,83,66,22,43,17
03/02/2014,84,43,14,14,66,47,28,9,7,23,16,4,13,35,14,2,17,13,28,6
10/02/2014,59,31,1,26,76,77,18,66,38,30,14,17,27,68,20,34,3,24,38,14
17/02/2014,60,29,72,21,114,73,71,56,26,50,30,22,30,77,11,16,2,18,47,89
24/02/2014,116,40,36,30,104,56,23,52,55,14,9,13,26,106,45,25,23,32,38,33
03/03/2014,99,53,51,41,103,61,78,52,39,6,23,0,28,77,22,1,25,21,31,2
10/03/2014,112,48,77,20,121,1,25,55,59,53,32,21,32,76,25,29,8,11,50,13
17/03/2014,197,49,21,50,134,112,34,85,64,32,29,8,39,107,29,44,11,28,70,22
24/03/2014,116,60,34,58,185,54,54,50,97,31,52,14,26,100,22,42,12,30,47,32
31/03/2014,215,51,68,54,72,144,46,35,48,66,39,11,40,36,4,34,9,9,40,51
07/04/2014,82,21,157,26,109,61,41,62,87,43,66,5,46,80,14,54,12,54,54,20
14/04/2014,155,31,38,56,107,57,47,15,92,32,69,7,44,60,3,25,18,27,40,98
21/04/2014,80,21,25,6,22,21,1,23,9,18,18,1,26,38,21,13,16,12,10,3
28/04/2014,13,10,5,0,0,3,0,7,0,4,11,5,0,15,0,8,0,5,2,0
05/05/2014,70,67,40,59,76,44,88,34,93,31,118,17,13,42,48,9,19,92,89,91
12/05/2014,391,35,274,62,109,20,42,87,165,77,136,37,84,125,1,56,56,37,34,13
19/05/2014,178,23,48,9,133,30,22,14,176,96,109,50,23,85,3,46,8,21,19,8
26/05/2014,124,35,80,74,79,14,74,41,57,100,105,4,2,63,4,63,37,22,38,50
02/06/2014,235,17,85,27,158,72,20,33,36,38,86,27,16,85,6,11,19,22,13,38
09/06/2014,88,4,0,8,17,29,7,37,30,70,14,18,8,102,3,27,3,20,2,31
16/06/2014,187,27,177,11,63,35,60,21,43,76,132,26,8,133,5,9,6,12,2,24
23/06/2014,140,20,84,8,106,4,14,9,40,48,44,27,8,84,8,33,3,13,9,24
30/06/2014,111,19,25,4,7,31,15,28,12,11,46,2,8,61,1,11,20,10,6,0
07/07/2014,72,27,17,5,81,8,16,7,15,40,33,15,1,76,10,13,31,6,8,34
14/07/2014,75,4,25,3,14,17,11,5,27,33,7,19,6,107,6,15,9,32,4,16
21/07/2014,44,7,10,2,18,2,1,7,9,12,51,14,4,69,23,4,14,49,1,6
28/07/2014,40,0,12,7,22,93,3,6,2,8,27,7,0,23,2,13,0,13,4,1
04/08/2014,37,5,8,0,7,57,4,4,17,1,15,11,1,35,2,12,11,1,1,0
11/08/2014,10,2,2,4,3,25,3,5,9,12,7,5,1,15,0,1,0,4,3,9
18/08/2014,6,4,1,1,0,34,6,3,2,1,10,0,2,10,1,1,0,0,8,3
25/08/2014,7,3,1,7,1,0,1,5,4,0,1,0,0,9,1,2,0,2,4,2
01/09/2014,5,0,0,0,1,1,3,0,1,2,12,0,1,2,2,0,8,2,2,1
08/09/2014,10,2,0,0,3,0,3,1,1,0,2,0,2,1,0,5,0,1,5,0
15/09/2014,11,4,0,1,1,0,2,3,4,3,7,6,0,27,5,0,1,0,8,0
22/09/2014,16,4,1,1,2,7,3,5,3,0,6,3,0,8,1,1,0,4,7,1
29/09/2014,20,4,2,0,3,3,7,3,4,1,9,1,2,26,8,6,2,1,18,0
06/10/2014,17,10,0,1,3,1,18,1,1,0,26,11,0,43,5,2,4,3,27,4
13/10/2014,21,1,0,1,4,0,20,17,3,0,17,0,0,26,10,3,0,0,3,0
20/10/2014,34,12,3,26,9,1,22,3,1,3,16,4,3,39,33,14,0,0,40,7
27/10/2014,28,7,1,2,13,2,13,11,3,1,11,3,6,32,16,7,21,0,34,10
03/11/2014,44,4,7,0,16,0,18,11,11,1,11,1,5,46,28,28,4,0,30,7
10/11/2014,33,5,10,0,29,3,20,7,3,1,14,10,6,87,5,15,4,31,21,1
17/11/2014,85,15,26,7,14,3,28,13,9,3,14,8,25,33,28,7,25,23,24,4
24/11/2014,16,15,14,2,3,0,9,23,6,0,24,2,9,25,16,0,9,3,25,0
01/12/2014,95,12,41,6,39,0,16,15,14,10,56,7,13,122,4,23,4,11,110,10
08/12/2014,43,39,31,10,34,3,2,30,25,19,34,20,18,70,36,5,23,22,63,9
15/12/2014,35,7,15,0,0,0,7,7,4,2,30,36,4,72,5,21,14,0,17,10
22/12/2014,30,23,8,0,11,4,1,9,10,17,27,17,21,12,5,17,1,1,83,2
29/12/2014,259,42,49,32,38,15,11,98,61,38,112,61,53,256,45,39,27,11,103,25
